,survey,filters,m_zp,pixel_scale,resolution
0,PS1,"['g', 'r', 'i', 'z', 'y']",25,0.25,0.0
1,SDSS,"['u', 'g', 'r', 'i', 'z']",22.5,0.396,0.0
2,GALEX,"['FUV', 'NUV']","[18.82, 20.08]",1.5,1.0
3,2MASS,"['J', 'H', 'Ks']",header,1.0,1.0
4,WISE,"['W1', 'W2', 'W3', 'W4']",header,1.375,6.0
5,unWISE,"['W1', 'W2', 'W3', 'W4']",22.5,2.75,2.0
6,LegacySurvey,"['g', 'r', 'z']",22.5,0.262,0.0
7,VISTA,"['Z', 'Y', 'J', 'H', 'Ks']",header,0.339,0.0
8,SPLUS,"['u', 'F378', 'F395', 'F410', 'F430', 'g', 'F515', 'r', 'F660', 'i', 'F861', 'z']",header,0.55,0.0
9,UKIDSS,"['Z', 'Y', 'J', 'H', 'K']",header,0.4,0.0
